"Constituency","Rank 1 VS","Rank 2 VS","Rank 3 VS","Rank 4 VS"
1,46.43%,36.11%,9.60%,3.14%
2,36.34%,29.88%,26.01%,4.97%
3,41.18%,35.43%,14.22%,6.08%
4,46.37%,36.75%,7.41%,4.11%
5,36.54%,27.20%,18.10%,14.62%
6,45.21%,27.91%,11.72%,11.19%
7,35.37%,29.94%,25.83%,5.78%
8,49.02%,37.95%,5.83%,5.11%
9,41.68%,37.24%,13.30%,5.19%
10,48.77%,38.34%,5.87%,4.89%
11,39.26%,34.89%,12.35%,9.59%
12,40.82%,24.00%,14.87%,14.03%
13,30.19%,28.68%,15.89%,13.63%
14,40.17%,39.70%,12.08%,4.21%
15,35.19%,34.97%,16.63%,8.15%
16,35.13%,30.84%,13.36%,12.53%
17,36.15%,30.19%,21.25%,5.57%
18,34.16%,29.34%,23.97%,5.32%
19,36.26%,28.94%,22.54%,7.21%
20,41.05%,24.81%,24.25%,5.42%
21,32.11%,29.20%,28.64%,3.99%
22,35.71%,28.88%,17.01%,6.48%
23,39.88%,33.93%,10.56%,6.69%
24,39.59%,27.49%,23.24%,4.41%
25,39.85%,30.39%,20.87%,3.96%
26,43.22%,32.21%,18.50%,2.08%
27,56.13%,23.49%,13.58%,2.74%
28,50.90%,29.63%,14.16%,2.38%
29,29.15%,26.56%,25.85%,14.26%
30,30.21%,25.73%,22.76%,17.39%
31,30.25%,24.45%,23.48%,18.15%
32,35.06%,32.98%,14.82%,12.72%
33,39.05%,31.47%,14.29%,10.77%
34,37.58%,25.62%,20.79%,13.22%
35,38.06%,36.33%,15.52%,6.87%
36,40.16%,29.70%,19.00%,8.01%
37,47.01%,36.98%,6.86%,6.71%
38,38.56%,26.43%,22.04%,9.01%
39,48.06%,24.09%,21.27%,1.24%
40,44.07%,29.04%,20.04%,1.45%
41,33.23%,32.45%,24.40%,4.76%
42,44.07%,25.01%,21.09%,2.09%
43,35.66%,30.05%,26.68%,4.91%
44,34.33%,32.83%,22.82%,5.95%
45,33.50%,29.23%,13.24%,10.03%
46,32.54%,30.62%,23.12%,4.16%
47,43.64%,24.92%,15.11%,10.54%
48,36.34%,34.76%,10.65%,8.50%
49,28.65%,28.34%,25.78%,7.71%
50,52.87%,25.89%,13.51%,4.32%
51,41.68%,34.43%,13.17%,8.35%
52,35.81%,28.16%,21.55%,11.73%
53,38.19%,30.48%,28.11%,0.82%
54,50.58%,29.70%,17.48%,0.62%
55,47.44%,29.97%,20.70%,0.43%
56,42.96%,35.51%,19.68%,0.36%
57,36.13%,34.75%,22.07%,4.60%
58,42.50%,30.70%,23.13%,1.26%
59,30.14%,28.85%,23.60%,7.83%
60,35.66%,27.96%,25.27%,3.05%
61,47.71%,23.43%,19.70%,6.69%
62,48.66%,21.79%,14.37%,11.33%
63,42.03%,23.91%,15.68%,13.60%
64,30.82%,29.15%,26.30%,9.81%
65,28.95%,27.83%,21.09%,19.29%
66,38.10%,24.62%,20.09%,14.53%
67,37.16%,23.64%,22.49%,13.90%
68,53.55%,16.10%,14.62%,13.17%
69,36.33%,28.09%,20.84%,10.82%
70,35.85%,27.22%,20.81%,11.59%
71,34.13%,30.02%,22.80%,9.15%
72,35.09%,30.25%,20.35%,10.10%
73,37.40%,26.98%,25.41%,5.36%
74,30.76%,28.90%,27.43%,9.73%
75,31.81%,23.23%,21.67%,19.47%
76,33.33%,32.50%,18.80%,11.25%
77,45.90%,31.95%,10.54%,9.41%
78,36.57%,36.48%,13.31%,11.10%
79,50.68%,32.47%,8.78%,5.97%
80,32.93%,29.19%,28.91%,6.00%
81,46.06%,30.30%,12.72%,6.81%
82,56.05%,34.81%,2.78%,2.46%
83,51.17%,28.65%,14.18%,2.30%
84,45.37%,25.21%,22.08%,2.79%
85,60.07%,27.54%,7.53%,1.49%
86,33.44%,32.19%,22.42%,8.97%
87,33.47%,29.02%,18.50%,16.85%
88,33.65%,28.42%,19.20%,16.48%
89,39.80%,28.87%,18.59%,10.86%
90,34.27%,34.09%,19.31%,9.64%
91,37.90%,28.17%,18.07%,13.13%
92,29.41%,25.46%,25.13%,17.11%
93,34.24%,27.41%,19.81%,15.10%
94,34.98%,29.43%,17.95%,13.97%
95,39.75%,29.55%,21.88%,2.29%
96,52.23%,30.35%,10.01%,2.13%
97,31.95%,27.47%,21.33%,12.98%
98,47.01%,29.31%,15.97%,2.39%
99,50.69%,31.45%,11.74%,2.16%
100,45.91%,32.13%,14.13%,3.14%
101,42.79%,25.18%,19.02%,5.16%
102,33.07%,25.78%,25.09%,8.86%
103,32.18%,29.78%,17.60%,11.83%
104,50.98%,25.44%,14.90%,4.09%
105,66.57%,20.70%,7.31%,1.90%
106,44.73%,24.59%,21.71%,7.03%
107,52.30%,30.89%,12.70%,0.95%
108,56.30%,28.95%,10.23%,1.16%
109,50.86%,36.70%,8.55%,1.04%
110,57.65%,32.32%,6.50%,1.14%
111,46.34%,26.27%,17.87%,3.50%
112,31.01%,30.13%,23.22%,11.33%
113,32.29%,27.85%,27.80%,7.21%
114,29.79%,28.21%,25.89%,11.65%
115,33.16%,24.79%,21.52%,16.77%
116,27.87%,24.77%,22.38%,18.38%
117,31.69%,29.61%,21.70%,9.95%
118,43.57%,20.23%,17.11%,14.43%
119,30.64%,27.70%,25.42%,13.14%
120,35.96%,27.04%,25.99%,8.26%
121,29.77%,27.47%,21.25%,18.72%
122,36.51%,31.12%,23.83%,2.31%
123,30.04%,29.48%,29.05%,4.52%
124,40.30%,35.40%,16.82%,5.67%
125,43.29%,34.42%,16.21%,4.39%
126,35.17%,29.74%,23.57%,4.60%
127,52.85%,21.53%,11.33%,9.40%
128,59.82%,14.36%,10.81%,8.21%
129,42.62%,25.72%,13.41%,11.20%
130,51.43%,19.32%,16.20%,6.96%
131,29.15%,26.50%,19.04%,15.79%
132,38.61%,29.72%,15.80%,8.91%
133,32.36%,25.49%,19.17%,11.76%
134,32.95%,27.38%,25.32%,7.53%
135,38.10%,26.28%,13.52%,9.60%
136,34.49%,26.35%,17.99%,12.97%
137,31.21%,27.03%,21.28%,15.52%
138,35.72%,25.29%,21.98%,12.10%
139,30.74%,26.96%,21.11%,17.59%
140,27.32%,25.65%,24.53%,17.87%
141,55.27%,23.60%,12.57%,3.37%
142,29.51%,24.85%,21.96%,20.30%
143,51.89%,29.54%,11.98%,2.78%
144,50.35%,29.99%,11.68%,3.69%
145,49.19%,26.48%,17.58%,2.92%
146,30.55%,25.98%,22.54%,15.56%
147,51.65%,26.57%,13.12%,3.98%
148,39.53%,27.58%,16.74%,11.13%
149,33.10%,30.69%,18.89%,12.08%
150,33.33%,28.96%,14.88%,12.78%
151,46.48%,38.27%,4.91%,4.87%
152,41.70%,27.18%,19.45%,8.54%
153,28.75%,28.53%,25.98%,11.14%
154,47.42%,34.47%,13.57%,2.10%
155,53.07%,38.07%,4.56%,2.28%
156,52.36%,28.48%,15.13%,2.07%
157,53.68%,36.18%,5.44%,2.58%
158,49.30%,37.11%,9.11%,2.28%
159,38.59%,29.11%,16.48%,11.86%
160,46.47%,24.90%,16.81%,6.60%
161,36.52%,30.31%,20.62%,7.92%
162,44.96%,22.45%,21.73%,4.63%
163,52.53%,22.36%,12.71%,5.52%
164,51.33%,21.00%,11.19%,8.61%
165,54.38%,17.84%,15.91%,7.07%
166,57.05%,19.55%,13.11%,3.94%
167,53.84%,19.77%,14.57%,4.64%
168,34.88%,28.90%,17.47%,8.33%
169,45.24%,27.70%,12.94%,11.21%
170,31.77%,25.97%,20.56%,19.03%
171,34.15%,27.93%,22.68%,11.13%
172,38.81%,23.88%,22.62%,10.49%
173,41.01%,28.08%,19.35%,8.53%
174,29.55%,28.68%,24.84%,12.81%
175,35.87%,30.72%,20.22%,9.85%
176,36.85%,31.81%,19.75%,8.06%
177,68.81%,18.32%,4.69%,2.09%
178,72.61%,13.45%,6.61%,1.41%
179,74.29%,13.50%,4.09%,1.92%
180,78.65%,12.21%,2.94%,1.47%
181,73.76%,14.30%,3.58%,1.67%
182,72.66%,15.95%,4.48%,1.83%
183,66.53%,22.05%,2.89%,1.95%
184,73.66%,12.03%,6.82%,1.27%
185,72.30%,12.90%,6.90%,1.72%
186,66.04%,20.60%,5.08%,2.33%
187,44.37%,25.44%,15.67%,7.68%
188,38.21%,30.16%,17.22%,8.53%
189,46.80%,28.28%,10.62%,6.17%
190,40.91%,30.98%,15.86%,4.76%
191,42.08%,27.48%,16.64%,4.66%
192,26.83%,25.92%,20.82%,17.69%
193,25.14%,23.97%,23.32%,16.79%
194,40.48%,26.22%,17.20%,10.04%
195,32.05%,21.96%,21.55%,14.02%
196,47.54%,25.44%,22.04%,0.89%
197,49.12%,31.51%,14.94%,1.03%
198,42.46%,27.81%,25.56%,0.77%
199,63.32%,29.25%,3.75%,1.26%
200,41.04%,40.29%,15.84%,0.62%
201,42.93%,37.71%,15.45%,1.44%
202,44.43%,34.92%,17.00%,0.90%
203,47.35%,35.72%,13.73%,0.78%
204,42.20%,35.82%,18.85%,0.87%
205,43.95%,34.19%,18.05%,1.16%
206,27.22%,26.65%,23.97%,17.13%
207,46.34%,30.66%,19.36%,0.76%
208,36.28%,31.96%,17.65%,10.08%
209,30.46%,29.34%,23.57%,12.71%
210,29.91%,25.55%,21.29%,16.53%
211,36.78%,33.10%,18.89%,8.39%
212,40.57%,37.67%,12.76%,5.63%
213,45.22%,31.17%,10.14%,9.25%
214,40.88%,39.09%,9.35%,6.91%
215,45.83%,38.11%,9.88%,3.39%
216,47.62%,33.75%,7.41%,7.09%
217,29.38%,29.17%,25.33%,12.60%
218,34.95%,27.80%,18.39%,12.30%
219,41.97%,33.81%,15.86%,4.61%
220,36.82%,36.82%,13.65%,8.42%
221,34.24%,30.75%,19.23%,11.88%
222,32.24%,25.84%,19.79%,8.03%
223,44.21%,21.28%,17.71%,10.68%
224,31.01%,28.80%,16.89%,8.62%
225,37.01%,26.40%,16.05%,14.87%
226,22.53%,20.47%,19.57%,16.06%
227,22.69%,22.39%,20.69%,13.22%
228,31.19%,24.85%,24.28%,13.79%
229,26.52%,23.34%,23.21%,20.38%
230,30.19%,28.55%,18.72%,15.79%
231,30.81%,23.73%,22.00%,16.37%
232,30.85%,26.23%,18.51%,17.28%
233,39.85%,33.12%,12.02%,6.48%
234,40.81%,33.74%,13.04%,4.80%
235,34.95%,27.97%,21.28%,10.40%
236,46.09%,33.66%,10.08%,2.79%
237,36.94%,31.42%,14.46%,7.90%
238,43.43%,30.19%,13.78%,4.26%
239,32.99%,24.33%,19.77%,10.70%
240,27.81%,21.90%,21.42%,19.01%
241,28.24%,26.33%,16.71%,11.30%
242,29.43%,27.06%,20.09%,13.24%
243,26.42%,22.12%,14.84%,14.70%
244,49.07%,16.33%,15.36%,6.82%
245,50.08%,25.57%,9.56%,5.11%
246,57.87%,21.64%,9.08%,3.64%
247,22.37%,21.65%,20.78%,19.26%
248,25.04%,21.05%,19.86%,16.27%
249,25.09%,21.06%,19.00%,15.88%
250,26.23%,20.77%,19.96%,18.59%
251,38.99%,35.44%,8.78%,8.19%
252,46.69%,38.82%,4.66%,4.64%
253,41.02%,37.85%,6.61%,6.16%
254,32.39%,30.18%,15.08%,8.06%
255,30.82%,29.79%,21.27%,5.57%
256,35.93%,33.12%,11.10%,7.51%
257,29.53%,26.02%,20.68%,9.77%
258,34.70%,33.67%,13.51%,6.70%
259,41.31%,37.29%,8.76%,2.85%
260,39.76%,32.68%,7.66%,6.54%
261,30.28%,18.47%,18.06%,15.89%
262,30.73%,23.61%,22.18%,17.08%
263,31.67%,26.41%,19.83%,18.83%
264,35.46%,33.05%,8.50%,8.06%
265,39.98%,32.03%,9.92%,4.11%
266,44.45%,24.28%,18.87%,5.77%
267,41.65%,22.28%,21.28%,7.06%
268,42.66%,26.45%,20.89%,4.92%
269,45.21%,22.67%,20.59%,4.94%
270,31.09%,25.42%,19.01%,13.86%
271,34.43%,20.80%,18.27%,14.26%
272,46.74%,20.23%,17.38%,10.09%
273,28.85%,25.36%,18.68%,16.80%
274,27.70%,21.47%,20.20%,17.24%
275,33.18%,20.36%,17.49%,13.67%
276,33.09%,29.37%,27.53%,1.42%
277,34.05%,31.35%,24.82%,1.96%
278,32.76%,28.91%,26.90%,2.93%
279,27.78%,24.45%,23.89%,8.23%
280,36.65%,27.94%,24.99%,3.16%
281,31.99%,27.93%,26.69%,4.71%
282,39.18%,30.68%,15.26%,5.35%
283,42.76%,22.25%,19.52%,9.56%
284,31.11%,27.70%,23.25%,9.25%
285,24.34%,23.63%,22.96%,22.00%
286,32.75%,24.01%,18.78%,17.59%
287,23.94%,23.77%,21.79%,17.28%
288,28.31%,24.17%,19.49%,19.30%
289,35.11%,25.03%,21.82%,8.37%
290,36.66%,23.38%,18.02%,8.89%
291,34.58%,34.36%,17.47%,5.92%
292,28.13%,24.37%,20.46%,11.79%
293,20.79%,19.28%,19.06%,16.90%
294,32.40%,24.18%,14.41%,13.94%
295,27.74%,17.57%,15.57%,14.03%
296,31.90%,19.23%,16.31%,13.98%
297,31.79%,29.05%,20.46%,10.43%
298,44.35%,20.75%,18.46%,8.45%
299,45.79%,28.06%,13.41%,5.11%
300,37.18%,22.43%,17.23%,8.46%
301,27.14%,22.07%,19.22%,11.88%
302,34.75%,19.77%,18.42%,10.35%
303,32.60%,29.87%,15.78%,7.38%
304,29.40%,28.70%,17.66%,9.10%
305,31.05%,30.93%,11.18%,10.08%
306,28.44%,21.91%,18.32%,13.82%
307,38.91%,28.02%,15.22%,8.11%
308,33.99%,26.66%,14.17%,11.52%
309,30.53%,18.34%,14.26%,14.19%
310,35.93%,19.22%,15.15%,10.87%
311,34.61%,22.17%,16.00%,9.68%
312,24.76%,21.36%,16.94%,15.66%
313,27.12%,23.99%,18.69%,15.68%
314,29.17%,28.42%,18.69%,8.48%
315,43.51%,20.24%,18.27%,12.26%
316,38.14%,22.16%,19.71%,13.40%
317,38.34%,20.53%,20.43%,9.83%
318,36.18%,20.87%,20.08%,11.46%
319,29.56%,27.22%,24.54%,11.15%
320,50.75%,24.24%,11.17%,5.92%
321,58.00%,23.01%,7.80%,3.25%
322,62.97%,20.61%,9.37%,3.80%
323,52.26%,24.96%,13.54%,3.75%
324,46.83%,28.62%,13.66%,3.49%
325,31.40%,27.30%,23.68%,4.21%
326,39.72%,22.86%,18.53%,10.17%
327,35.12%,30.62%,14.14%,11.54%
328,31.27%,29.51%,15.70%,11.96%
329,30.27%,28.89%,24.03%,4.97%
330,34.72%,28.45%,16.81%,6.68%
331,36.48%,23.06%,22.93%,8.82%
332,32.56%,23.78%,21.69%,13.44%
333,25.72%,24.34%,24.28%,13.24%
334,31.85%,25.30%,25.12%,7.52%
335,37.33%,25.53%,20.44%,5.17%
336,34.72%,24.00%,17.80%,11.68%
337,32.31%,28.15%,17.73%,12.60%
338,27.03%,26.20%,21.13%,12.61%
339,29.97%,21.39%,19.57%,16.41%
340,32.89%,23.06%,23.03%,9.33%
341,27.27%,24.59%,20.70%,14.14%
342,30.98%,22.99%,21.73%,13.71%
343,32.16%,32.09%,26.35%,3.38%
344,35.20%,25.76%,17.72%,12.05%
345,40.00%,26.81%,13.95%,7.98%
346,34.79%,30.29%,16.76%,8.76%
347,38.90%,23.15%,19.82%,8.12%
348,28.21%,25.60%,20.79%,19.64%
349,27.82%,25.40%,21.97%,16.50%
350,31.72%,24.68%,18.44%,15.69%
